review_priority,source_system,source_db,owner,table_name,table_comment,num_rows_stats,inferred_domain,column_count_in_current_file,has_primary_key,cleanup_decision,cleanup_reason,dependency_count,review_reason
P0,HRP,10.10.10.23:1521/hrpdb,HRPSEY656,OM_JOB,,326,岗位/职务,38,true,core_keep,核心表白名单,1,????1???????????
P0,HRP,10.10.10.23:1521/hrpdb,HRPSEY656,SM_USER,,987,用户账号,39,true,core_keep,核心表白名单,7,????7???????????
P0,HRP,10.10.10.23:1521/hrpdb,HRPSEY656,BM_BUDGETCENTERDEPT,,39,科室/组织,45,true,core_candidate,,1,????1???????????
P0,HRP,10.10.10.23:1521/hrpdb,HRPSEY656,BM_CENTERDEPTMAKE,,148,科室/组织,63,true,core_candidate,,1,????1???????????
P0,HRP,10.10.10.23:1521/hrpdb,HRPSEY656,BM_CENTERDEPTMAKE_B,,1832,科室/组织,108,true,core_candidate,,1,????1???????????
P0,HRP,10.10.10.23:1521/hrpdb,HRPSEY656,CDA_SECTION_MAP,院内科室与CS_SECTION标准科室代码对照表,205,科室/组织,14,true,core_candidate,,1,????1???????????
P0,HRP,10.10.10.23:1521/hrpdb,HRPSEY656,FA_DEPTSCALE,,36505,科室/组织,10,true,core_candidate,,1,????1???????????
P0,HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ORG_ADMINORG,,1,科室/组织,62,true,core_keep,核心表白名单,13,????13???????????
P0,HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ORG_DEPT,,325,科室/组织,80,true,core_keep,核心表白名单,77,????77???????????
P0,HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ORG_DEPT_V,,328,科室/组织,75,true,core_candidate,,7,????7???????????
P0,HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ORG_STOCKORG,,1,科室/组织,60,true,core_candidate,,2,????2???????????
P0,HRP,10.10.10.23:1521/hrpdb,HRPSEY656,BD_BILLTYPE,,1852,财务,43,true,core_candidate,,5,????5???????????
P0,HRP,10.10.10.23:1521/hrpdb,HRPSEY656,BD_VOUCHERTYPE,,5,财务,31,true,core_candidate,,1,????1???????????
P0,HRP,10.10.10.23:1521/hrpdb,HRPSEY656,GL_DETAIL,,1086132,财务,87,true,core_keep,核心表白名单,1,????1???????????
P0,HRP,10.10.10.23:1521/hrpdb,HRPSEY656,GL_DOCFREE1,,21809,财务,34,true,core_keep,核心表白名单,1,????1???????????
P0,HRP,10.10.10.23:1521/hrpdb,HRPSEY656,PO_PRAYBILL_B,,176218,财务,98,true,core_candidate,,1,????1???????????
