K编号,标题,原台账序号,业务域,风险等级,涉及表
K039,出院提示有未确认的检查单,44,4.检验检查,🔴写,`EXAM.EXAM_MASTER`（检查主记录）、`PHARMACY.DOCT_DRUG_PRESC_MASTER`（待发药住院处方主记录）
K040,未安床之前，病区选错科室,13,4.检验检查,🟡配,无（界面修正）
K041,医技预约提示同步患者信息，HIS未注册,72,4.检验检查,🟢读,"`MEDREC.MEDICAL_CARD_VS_IDNO`（就诊卡-身份证对照(无库注释,依功能定名)）、`MEDREC.MEDICAL_CARD_MEMO`（"
K042,建档费别为空,78,4.检验检查,🔴写,`MEDREC.PAT_MASTER_INDEX`（病人主索引）
K043,getLodop 出错,1,4.检验检查,🟡配,无
K044,博思打印控件连接异常,10,4.检验检查,🟡配,无
K045,发票打印报错：参数[~placeCode]转入值[]找不到对照信息,11,4.检验检查,🟡配,无（博思侧配置）
K046,入院确认单需要补打,12,4.检验检查,🟡配,无
K047,怎么补打医疗结账,14,4.检验检查,🟡配,无
K048,住院处入院确认单、腕带打印配置,19,4.检验检查,🟡配,无
K054,床旁结算静默打印问题集,73,4.检验检查,🟡配,无
K050,打印出来很黑,24,5.患者主索引与建档,🟡配,无
K051,挂号读卡没反应,31,5.患者主索引与建档,🟡配,无
K053,读不了卡,46,5.患者主索引与建档,🟡配,无
K049,小治疗单、护理单打印不全,21,5.患者主索引与建档,🟡配,无（执行单分类配置）
K052,药房打印机不打印/点击打印不响应,37,6.打印与外设,🟡配,无
K055,操作员工号缺失某些菜单权限,15,6.打印与外设,🟡配,无（权限配置界面）
K056,住院处电脑插件安装配置,17,6.打印与外设,🟡配,无
K057,住院处电脑 hosts 文件配置,18,6.打印与外设,🟡配,无
K058,人员、科室权限的配置修改,28,7.权限与系统配置,🟡配,无（权限管理界面）
K059,"传染病上报""对照诊断不存在""",45,7.权限与系统配置,🔴写,"`COMM.INFECT_DIAG_DICT`（传染病诊断对照字典(无库注释,依台账定名)）"
K060,门诊电子病历签名为空/签名是❌,26,7.权限与系统配置,🟡配,无（签名文件上传至电子病历管理端）
K062,写不了电子病历,52,7.权限与系统配置,🟡配,无
K063,修改电子病历 OA 数据内容,81,7.权限与系统配置,🔴写,`YBEMR.MEDICAL_API_MEDICALRECORDS`（医保电子病历病历API表，含 COMMIT_ALL 字段——2026-08-24 经 OD
K061,会诊签名图片不显示,43,7.权限与系统配置,🟡配,无（签名更新界面）
K064,已下转科医嘱但无法进行转科,20,7.权限与系统配置,🟡配,无
K065,滚费多滚了,22,7.权限与系统配置,🟡配,无（计费规则判断）
K066,入错科室问题处理,60,8.电子病历与签名,🟡配,无
K067,入科医生填错了，需要修改,61,8.电子病历与签名,🟡配,无（病人信息界面）
K068,共用护理单元入科入错到另一共用单元的科,62,8.电子病历与签名,🟡配,无
K069,转科步骤,63,8.电子病历与签名,🟡配,无
K070,全院一张床功能,64,8.电子病历与签名,🟡配,无
K072,不挂号怎么查看患者之前的就诊信息,50,8.电子病历与签名,🟢读,无（全息视图界面）
K073,门诊换药量统计,69,8.电子病历与签名,🟢读,`OUTPBILL.OUTP_BILL_ITEMS`（门诊病人诊疗费用项目）、`OUTPBILL.OUTP_ORDER_DESC`（开单记录）、`OUTPBIL
K071,抗菌药物使用强度 DDD 值不准确,42,9.护士站业务,🟡配,无（系统配置·药品基本信息界面）
