系统名称,库名,Schema,表名,表中文名,表备注,来源文件名称,来源文件章节,数据库实际备注,文档备注,文档与实际库是否一致,业务域,表类型,数据粒度,总行数,活跃度判断,核心字段,候选主键,候选关联字段,是否纳入数据资产,是否进入数据治理系统,确认状态,判断依据,需要人工确认的问题
HIS_SOURCE,his_ready_10_10_10_15,COMM,APP_GRANTS,应用程序权限记录,应用程序权限记录,系统表结构/HIS系统数据库表结构.md,按表名索引匹配，章节需人工确认,应用程序权限记录,待从原始表结构文档逐表精确回填,待确认,标准映射表,字典表,一行一个字典项,4841,待活跃度统计,APPLICATION+USER_ID+CAPABILITY,APPLICATION+USER_ID+CAPABILITY,USER_ID,是,是,已初筛,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,
HIS_SOURCE,his_ready_10_10_10_15,COMM,APP_GRANT_DICT,,需要人工确认,系统表结构/HIS系统数据库表结构.md,按表名索引匹配，章节需人工确认,,待从原始表结构文档逐表精确回填,待确认,标准映射表,字典表,一行一个字典项,0,待活跃度统计,APPLICATION+GRANT_CODE,APPLICATION+GRANT_CODE,,是,是,已初筛,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,
HIS_SOURCE,his_ready_10_10_10_15,COMM,APP_PRINTER_PARAMETER,各系统打印机设置,各系统打印机设置,系统表结构/HIS系统数据库表结构.md,按表名索引匹配，章节需人工确认,各系统打印机设置,待从原始表结构文档逐表精确回填,待确认,标准映射表,字典表,一行一个字典项,1,待活跃度统计,APP_NAME+DEPT_CODE+EMP_NO+PARAMETER_NAME,APP_NAME+DEPT_CODE+EMP_NO+PARAMETER_NAME,DEPT_CODE,是,是,已初筛,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,
HIS_SOURCE,his_ready_10_10_10_15,COMM,APP_ROLES,,需要人工确认,系统表结构/HIS系统数据库表结构.md,按表名索引匹配，章节需人工确认,,待从原始表结构文档逐表精确回填,待确认,标准映射表,字典表,一行一个字典项,0,待活跃度统计,APPLICATION+ROLE,APPLICATION+ROLE,,是,是,已初筛,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,
HIS_SOURCE,his_ready_10_10_10_15,COMM,AREA_DICT,行政区字典,行政区字典,系统表结构/HIS系统数据库表结构.md,按表名索引匹配，章节需人工确认,行政区字典,待从原始表结构文档逐表精确回填,待确认,标准映射表,字典表,一行一个字典项,3018,待活跃度统计,AREA_CODE,AREA_CODE,,是,是,已初筛,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,
HIS_SOURCE,his_ready_10_10_10_15,COMM,AREA_DICT_20201111,行政区字典,行政区字典,系统表结构/HIS系统数据库表结构.md,按表名索引匹配，章节需人工确认,行政区字典,待从原始表结构文档逐表精确回填,待确认,标准映射表,字典表,一行一个字典项,3709,待活跃度统计,AREA_CODE,AREA_CODE,,是,是,已初筛,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,
HIS_SOURCE,his_ready_10_10_10_15,COMM,AREA_DICT_20201126,行政区字典,行政区字典,系统表结构/HIS系统数据库表结构.md,按表名索引匹配，章节需人工确认,行政区字典,待从原始表结构文档逐表精确回填,待确认,标准映射表,字典表,一行一个字典项,3675,待活跃度统计,AREA_CODE,AREA_CODE,,是,是,已初筛,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,
HIS_SOURCE,his_ready_10_10_10_15,COMM,AREA_DICT_BAK,行政区字典,行政区字典,系统表结构/HIS系统数据库表结构.md,按表名索引匹配，章节需人工确认,行政区字典,待从原始表结构文档逐表精确回填,待确认,标准映射表,字典表,一行一个字典项,3841,待活跃度统计,AREA_CODE,AREA_CODE,,是,是,已初筛,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,
HIS_SOURCE,his_ready_10_10_10_15,COMM,AREA_DICT_ZAL,,需要人工确认,系统表结构/HIS系统数据库表结构.md,按表名索引匹配，章节需人工确认,,待从原始表结构文档逐表精确回填,待确认,标准映射表,字典表,一行一个字典项,0,待活跃度统计,AREA_CODE,AREA_CODE,,是,是,已初筛,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,
HIS_SOURCE,his_ready_10_10_10_15,COMM,ARMED_SERVICES_DICT,军种字典,军种字典,系统表结构/HIS系统数据库表结构.md,按表名索引匹配，章节需人工确认,军种字典,待从原始表结构文档逐表精确回填,待确认,标准映射表,字典表,一行一个字典项,5,待活跃度统计,ARMED_SERVICES_NAME,ARMED_SERVICES_NAME,,是,是,已初筛,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,
HIS_SOURCE,his_ready_10_10_10_15,COMM,AUTO_SETTING,,需要人工确认,系统表结构/HIS系统数据库表结构.md,按表名索引匹配，章节需人工确认,,待从原始表结构文档逐表精确回填,待确认,标准映射表,字典表,一行一个字典项,0,待活跃度统计,ID,ID,,是,是,已初筛,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,
HIS_SOURCE,his_ready_10_10_10_15,COMM,AUTO_SETTING_ID,,需要人工确认,系统表结构/HIS系统数据库表结构.md,按表名索引匹配，章节需人工确认,,待从原始表结构文档逐表精确回填,待确认,标准映射表,字典表,一行一个字典项,27,待活跃度统计,SERIAL_NO,SERIAL_NO,,是,是,已初筛,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,
HIS_SOURCE,his_ready_10_10_10_15,COMM,BED_APPROVED_TYPE_DICT,床位编制类型字典,床位编制类型字典,系统表结构/HIS系统数据库表结构.md,按表名索引匹配，章节需人工确认,床位编制类型字典,待从原始表结构文档逐表精确回填,待确认,人员字典,字典表,一行一个字典项,4,待活跃度统计,BED_APPROVED_TYPE_CODE,BED_APPROVED_TYPE_CODE,,是,是,已初筛,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,
HIS_SOURCE,his_ready_10_10_10_15,COMM,BED_CLASS_DICT,床位等级字典,床位等级字典,系统表结构/HIS系统数据库表结构.md,按表名索引匹配，章节需人工确认,床位等级字典,待从原始表结构文档逐表精确回填,待确认,人员字典,字典表,一行一个字典项,24,待活跃度统计,BED_CLASS_CODE,BED_CLASS_CODE,,是,是,已初筛,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,
HIS_SOURCE,his_ready_10_10_10_15,COMM,BED_STATUS_DICT,床位状态字典,床位状态字典,系统表结构/HIS系统数据库表结构.md,按表名索引匹配，章节需人工确认,床位状态字典,待从原始表结构文档逐表精确回填,待确认,人员字典,字典表,一行一个字典项,3,待活跃度统计,BED_STATUS_CODE,BED_STATUS_CODE,,是,是,已初筛,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,
HIS_SOURCE,his_ready_10_10_10_15,COMM,BED_TYPE_DICT,床位类型字典,床位类型字典,系统表结构/HIS系统数据库表结构.md,按表名索引匹配，章节需人工确认,床位类型字典,待从原始表结构文档逐表精确回填,待确认,人员字典,字典表,一行一个字典项,3,待活跃度统计,BED_TYPE_CODE,BED_TYPE_CODE,,是,是,已初筛,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,
HIS_SOURCE,his_ready_10_10_10_15,COMM,BED_VS_AIRCONDITION,,需要人工确认,系统表结构/HIS系统数据库表结构.md,按表名索引匹配，章节需人工确认,,待从原始表结构文档逐表精确回填,待确认,人员字典,字典表,一行一个字典项,0,待活跃度统计,BED_CLASS_CODE,BED_CLASS_CODE,,是,是,已初筛,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,
HIS_SOURCE,his_ready_10_10_10_15,COMM,BILLING_GROUP_DICT,收费部门分组字典,收费部门分组字典,系统表结构/HIS系统数据库表结构.md,按表名索引匹配，章节需人工确认,收费部门分组字典,待从原始表结构文档逐表精确回填,待确认,费用收费,字典表,一行一张收据/结算或一条收费明细,0,待活跃度统计,GROUP_NAME,GROUP_NAME,,是,是,已初筛,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,
HIS_SOURCE,his_ready_10_10_10_15,COMM,BILL_ITEM_CLASS_DICT,价表项目分类字典,价表项目分类字典,系统表结构/HIS系统数据库表结构.md,按表名索引匹配，章节需人工确认,价表项目分类字典,待从原始表结构文档逐表精确回填,待确认,费用收费,字典表,一行一张收据/结算或一条收费明细,14,待活跃度统计,CLASS_CODE,CLASS_CODE,,是,是,已初筛,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,
HIS_SOURCE,his_ready_10_10_10_15,COMM,BILL_PATTERN_DETAIL,费用模板明细记录,费用模板明细记录,系统表结构/HIS系统数据库表结构.md,按表名索引匹配，章节需人工确认,费用模板明细记录,待从原始表结构文档逐表精确回填,待确认,费用收费,字典表,一行一张收据/结算或一条收费明细,26965,待活跃度统计,PATTERN_NAME+ITEM_NO+DEPT_CODE,DEPT_CODE+PATTERN_NAME+ITEM_NO,DEPT_CODE,是,是,已初筛,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,
HIS_SOURCE,his_ready_10_10_10_15,COMM,BILL_PATTERN_MASTER,费用模板主记录,费用模板主记录,系统表结构/HIS系统数据库表结构.md,按表名索引匹配，章节需人工确认,费用模板主记录,待从原始表结构文档逐表精确回填,待确认,费用收费,字典表,一行一张收据/结算或一条收费明细,4005,待活跃度统计,PATTERN_NAME+DEPT_CODE,DEPT_CODE+PATTERN_NAME,DEPT_CODE,是,是,已初筛,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,
HIS_SOURCE,his_ready_10_10_10_15,COMM,BILL_UNITS_DICT,计价单位字典,计价单位字典,系统表结构/HIS系统数据库表结构.md,按表名索引匹配，章节需人工确认,计价单位字典,待从原始表结构文档逐表精确回填,待确认,费用收费,字典表,一行一张收据/结算或一条收费明细,0,待活跃度统计,BILL_UNITS_CODE,BILL_UNITS_CODE,,是,是,已初筛,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,
HIS_SOURCE,his_ready_10_10_10_15,COMM,BIRTH_RESULT_DICT,,需要人工确认,系统表结构/HIS系统数据库表结构.md,按表名索引匹配，章节需人工确认,,待从原始表结构文档逐表精确回填,待确认,检验,字典表,一行一个字典项,6,待活跃度统计,SERIAL_NO,SERIAL_NO,,是,是,已初筛,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,
HIS_SOURCE,his_ready_10_10_10_15,COMM,BIRTH_TYPE_DICT,,需要人工确认,系统表结构/HIS系统数据库表结构.md,按表名索引匹配，章节需人工确认,,待从原始表结构文档逐表精确回填,待确认,标准映射表,字典表,一行一个字典项,8,待活跃度统计,SERIAL_NO,SERIAL_NO,,是,是,已初筛,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,
HIS_SOURCE,his_ready_10_10_10_15,COMM,BLOOD_TYPE_DICT,血型字典,血型字典,系统表结构/HIS系统数据库表结构.md,按表名索引匹配，章节需人工确认,血型字典,待从原始表结构文档逐表精确回填,待确认,标准映射表,字典表,一行一个字典项,6,待活跃度统计,BLOOD_TYPE_NAME,BLOOD_TYPE_NAME,,是,是,已初筛,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,
HIS_SOURCE,his_ready_10_10_10_15,COMM,BREECH_PRESENTATION_DICT,新生儿表中臀位字典表,新生儿表中臀位字典表,系统表结构/HIS系统数据库表结构.md,按表名索引匹配，章节需人工确认,新生儿表中臀位字典表,待从原始表结构文档逐表精确回填,待确认,标准映射表,字典表,一行一个字典项,6,待活跃度统计,SERIAL_NO,SERIAL_NO,,是,是,已初筛,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,
HIS_SOURCE,his_ready_10_10_10_15,COMM,CAT,,需要人工确认,系统表结构/HIS系统数据库表结构.md,按表名索引匹配，章节需人工确认,,待从原始表结构文档逐表精确回填,待确认,标准映射表,字典表,一行一个字典项,5674,待活跃度统计,,需要验证,,是,是,已初筛,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,
HIS_SOURCE,his_ready_10_10_10_15,COMM,CDIAG_ITEM_DICT,,需要人工确认,系统表结构/HIS系统数据库表结构.md,按表名索引匹配，章节需人工确认,,待从原始表结构文档逐表精确回填,待确认,诊断,字典表,一行一条诊断,0,待活跃度统计,,需要验证,,是,是,已初筛,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,
HIS_SOURCE,his_ready_10_10_10_15,COMM,CEQ$STAFF_DICT,,需要人工确认,系统表结构/HIS系统数据库表结构.md,按表名索引匹配，章节需人工确认,,待从原始表结构文档逐表精确回填,待确认,人员字典,字典表,一行一个字典项,0,待活跃度统计,,需要验证,DEPT_CODE,是,是,已初筛,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,
HIS_SOURCE,his_ready_10_10_10_15,COMM,CHARGE_PRICE_SCHEDULE,收费系数字典,收费系数字典,系统表结构/HIS系统数据库表结构.md,按表名索引匹配，章节需人工确认,收费系数字典,待从原始表结构文档逐表精确回填,待确认,费用收费,字典表,一行一个字典项,21,待活跃度统计,CHARGE_TYPE,CHARGE_TYPE,,是,是,已初筛,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,
HIS_SOURCE,his_ready_10_10_10_15,COMM,CHARGE_SPECIAL_CLINIC_DICT,,需要人工确认,系统表结构/HIS系统数据库表结构.md,按表名索引匹配，章节需人工确认,,待从原始表结构文档逐表精确回填,待确认,费用收费,字典表,一行一个字典项,0,待活跃度统计,ITEM_CODE+FLAG,ITEM_CODE+FLAG,,是,是,已初筛,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,
HIS_SOURCE,his_ready_10_10_10_15,COMM,CHARGE_SPECIAL_EXCEPT_DICT,收费特殊项目排斥字典,收费特殊项目排斥字典,系统表结构/HIS系统数据库表结构.md,按表名索引匹配，章节需人工确认,收费特殊项目排斥字典,待从原始表结构文档逐表精确回填,待确认,费用收费,字典表,一行一个字典项,0,待活跃度统计,CHARGE_TYPE+ITEM_CLASS+ITEM_CODE+ITEM_SPEC,CHARGE_TYPE+ITEM_CLASS+ITEM_CODE+ITEM_SPEC,,是,是,已初筛,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,
HIS_SOURCE,his_ready_10_10_10_15,COMM,CHARGE_SPECIAL_ITEM_DICT,收费特殊项目字典,收费特殊项目字典,系统表结构/HIS系统数据库表结构.md,按表名索引匹配，章节需人工确认,收费特殊项目字典,待从原始表结构文档逐表精确回填,待确认,费用收费,字典表,一行一个字典项,18,待活跃度统计,CHARGE_TYPE+ITEM_CLASS+ITEM_CODE+ITEM_SPEC,CHARGE_TYPE+ITEM_CLASS+ITEM_CODE+ITEM_SPEC,,是,是,已初筛,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,
HIS_SOURCE,his_ready_10_10_10_15,COMM,CHARGE_TYPE_CONFIGER_PARAMETER,费别参数字典,费别参数字典,系统表结构/HIS系统数据库表结构.md,按表名索引匹配，章节需人工确认,费别参数字典,待从原始表结构文档逐表精确回填,待确认,费用收费,字典表,一行一个字典项,0,待活跃度统计,CHARGE_TYPE_NAME,CHARGE_TYPE_NAME,,是,是,已初筛,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,
HIS_SOURCE,his_ready_10_10_10_15,COMM,CHARGE_TYPE_DICT,费别字典,费别字典,系统表结构/HIS系统数据库表结构.md,按表名索引匹配，章节需人工确认,费别字典,待从原始表结构文档逐表精确回填,待确认,费用收费,字典表,一行一个字典项,18,待活跃度统计,CHARGE_TYPE_NAME,CHARGE_TYPE_NAME,,是,是,已初筛,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,
HIS_SOURCE,his_ready_10_10_10_15,COMM,CHARGE_TYPE_VS_IDENTITY,费别与身份对照关系,费别与身份对照关系,系统表结构/HIS系统数据库表结构.md,按表名索引匹配，章节需人工确认,费别与身份对照关系,待从原始表结构文档逐表精确回填,待确认,费用收费,字典表,一行一个字典项,51,待活跃度统计,CHARGE_TYPE+IDENTITY_SERIAL_NO,CHARGE_TYPE+IDENTITY_SERIAL_NO,,是,是,已初筛,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,
HIS_SOURCE,his_ready_10_10_10_15,COMM,CHECK_LABEL_DICT,支票标识字典,支票标识字典,系统表结构/HIS系统数据库表结构.md,按表名索引匹配，章节需人工确认,支票标识字典,待从原始表结构文档逐表精确回填,待确认,检验,字典表,一行一个字典项,0,待活跃度统计,CHECK_LABEL_CODE,CHECK_LABEL_CODE,,是,是,已初筛,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,
HIS_SOURCE,his_ready_10_10_10_15,COMM,CLASS_CODING_CONFIG,层次输入法定义,层次输入法定义,系统表结构/HIS系统数据库表结构.md,按表名索引匹配，章节需人工确认,层次输入法定义,待从原始表结构文档逐表精确回填,待确认,标准映射表,字典表,一行一个字典项,1,待活跃度统计,ITEM,ITEM,,是,是,已初筛,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,
HIS_SOURCE,his_ready_10_10_10_15,COMM,CLASS_CODING_RULE,分层编码描述,分层编码描述,系统表结构/HIS系统数据库表结构.md,按表名索引匹配，章节需人工确认,分层编码描述,待从原始表结构文档逐表精确回填,待确认,标准映射表,字典表,一行一个字典项,3,待活跃度统计,ITEM+CODE_LEVEL,ITEM+CODE_LEVEL,,是,是,已初筛,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,
HIS_SOURCE,his_ready_10_10_10_15,COMM,CLG$STAFF_DICT,,需要人工确认,系统表结构/HIS系统数据库表结构.md,按表名索引匹配，章节需人工确认,,待从原始表结构文档逐表精确回填,待确认,人员字典,字典表,一行一个字典项,0,待活跃度统计,,需要验证,,是,是,已初筛,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,
HIS_SOURCE,his_ready_10_10_10_15,COMM,CLIENT_INSTALLATION,计算机站点,计算机站点,系统表结构/HIS系统数据库表结构.md,按表名索引匹配，章节需人工确认,计算机站点,待从原始表结构文档逐表精确回填,待确认,标准映射表,字典表,一行一个字典项,720,待活跃度统计,CLIENT_NAME+LOCATION,CLIENT_NAME+LOCATION,,是,是,已初筛,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,
HIS_SOURCE,his_ready_10_10_10_15,COMM,CLINICAL_DEPT_CONFIG,临床科室配置情况,临床科室配置情况,系统表结构/HIS系统数据库表结构.md,按表名索引匹配，章节需人工确认,临床科室配置情况,待从原始表结构文档逐表精确回填,待确认,科室字典,字典表,一行一个字典项,1,待活跃度统计,DEPT_CODE,DEPT_CODE,DEPT_CODE,是,是,已初筛,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,
HIS_SOURCE,his_ready_10_10_10_15,COMM,CLINIC_ITEM_CLASS_DICT,诊疗项目分类字典,诊疗项目分类字典,系统表结构/HIS系统数据库表结构.md,按表名索引匹配，章节需人工确认,诊疗项目分类字典,待从原始表结构文档逐表精确回填,待确认,项目字典,字典表,一行一个字典项,11,待活跃度统计,CLASS_CODE,CLASS_CODE,,是,是,已初筛,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,
HIS_SOURCE,his_ready_10_10_10_15,COMM,CLINIC_ITEM_DICT,临床诊疗项目字典,临床诊疗项目字典,系统表结构/HIS系统数据库表结构.md,按表名索引匹配，章节需人工确认,临床诊疗项目字典,待从原始表结构文档逐表精确回填,待确认,项目字典,字典表,一行一个字典项,18916,待活跃度统计,ITEM_CLASS+ITEM_CODE,ITEM_CLASS+ITEM_CODE,,是,是,已初筛,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,
HIS_SOURCE,his_ready_10_10_10_15,COMM,CLINIC_ITEM_DICT_20250630,,需要人工确认,系统表结构/HIS系统数据库表结构.md,按表名索引匹配，章节需人工确认,,待从原始表结构文档逐表精确回填,待确认,项目字典,字典表,一行一个字典项,21,待活跃度统计,,需要验证,,是,是,已初筛,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,
HIS_SOURCE,his_ready_10_10_10_15,COMM,CLINIC_ITEM_DICT_20260131,临床诊疗项目字典,临床诊疗项目字典,系统表结构/HIS系统数据库表结构.md,按表名索引匹配，章节需人工确认,临床诊疗项目字典,待从原始表结构文档逐表精确回填,待确认,项目字典,字典表,一行一个字典项,16459,待活跃度统计,ITEM_CLASS+ITEM_CODE,ITEM_CLASS+ITEM_CODE,,是,是,已初筛,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,
HIS_SOURCE,his_ready_10_10_10_15,COMM,CLINIC_ITEM_DICT_20260331,临床诊疗项目字典,临床诊疗项目字典,系统表结构/HIS系统数据库表结构.md,按表名索引匹配，章节需人工确认,临床诊疗项目字典,待从原始表结构文档逐表精确回填,待确认,项目字典,字典表,一行一个字典项,18768,待活跃度统计,ITEM_CLASS+ITEM_CODE,ITEM_CLASS+ITEM_CODE,,是,是,已初筛,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,
HIS_SOURCE,his_ready_10_10_10_15,COMM,CLINIC_ITEM_MAPPING,诊疗项目与其他平台编码对照表,诊疗项目与其他平台编码对照表,系统表结构/HIS系统数据库表结构.md,按表名索引匹配，章节需人工确认,诊疗项目与其他平台编码对照表,待从原始表结构文档逐表精确回填,待确认,项目字典,字典表,一行一个字典项,522,待活跃度统计,,需要验证,,是,是,已初筛,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,
HIS_SOURCE,his_ready_10_10_10_15,COMM,CLINIC_ITEM_MAPPING_0509,诊疗项目与其他平台编码对照表,诊疗项目与其他平台编码对照表,系统表结构/HIS系统数据库表结构.md,按表名索引匹配，章节需人工确认,诊疗项目与其他平台编码对照表,待从原始表结构文档逐表精确回填,待确认,项目字典,字典表,一行一个字典项,524,待活跃度统计,,需要验证,,是,是,已初筛,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,
HIS_SOURCE,his_ready_10_10_10_15,COMM,CLINIC_ITEM_MAPPING_20260507,诊疗项目与其他平台编码对照表,诊疗项目与其他平台编码对照表,系统表结构/HIS系统数据库表结构.md,按表名索引匹配，章节需人工确认,诊疗项目与其他平台编码对照表,待从原始表结构文档逐表精确回填,待确认,项目字典,字典表,一行一个字典项,410,待活跃度统计,,需要验证,,是,是,已初筛,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,
HIS_SOURCE,his_ready_10_10_10_15,COMM,CLINIC_ITEM_MAPPING_20260616,诊疗项目与其他平台编码对照表,诊疗项目与其他平台编码对照表,系统表结构/HIS系统数据库表结构.md,按表名索引匹配，章节需人工确认,诊疗项目与其他平台编码对照表,待从原始表结构文档逐表精确回填,待确认,项目字典,字典表,一行一个字典项,526,待活跃度统计,,需要验证,,是,是,已初筛,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,
HIS_SOURCE,his_ready_10_10_10_15,COMM,CLINIC_ITEM_MAPPING_D,诊疗项目与其他平台编码对照表,诊疗项目与其他平台编码对照表,系统表结构/HIS系统数据库表结构.md,按表名索引匹配，章节需人工确认,诊疗项目与其他平台编码对照表,待从原始表结构文档逐表精确回填,待确认,项目字典,字典表,一行一个字典项,262,待活跃度统计,,需要验证,,是,是,已初筛,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,
