Schema,表名,表中文名,总行数,原确认状态,复核动作,复核理由,候选时间字段,是否仍需人工确认
DRUG_USER,MED_CARE_DETAIL,药品养护记录明细表,0,待人工确认,remain_manual,规则未能确定,PRODUCT_DATE,?
DRUG_USER,MED_CARE_MASTER,药品养护记录主表,0,待人工确认,remain_manual,规则未能确定,CARE_DATE,?
DRUG_USER,MED_CHECK_DETAIL,盘点明细表,28540,待人工确认,promote_core,有中文名/业务备注且非备份临时，存在数据，按用户规则优先保留；存在候选时间字段：EXPIRE_DATE，需后续只读 SQL 补近30天活跃度,EXPIRE_DATE,?
DRUG_USER,MED_CHECK_DETAIL_2025-9-1,盘点明细表,5274,待人工确认,exclude,表名含备份/临时/测试/日志/日期快照特征，按用户规则排除,EXPIRE_DATE,?
DRUG_USER,MED_CHECK_MASTER,盘点主表,37,待人工确认,promote_core,有中文名/业务备注且非备份临时，存在数据，按用户规则优先保留；存在候选时间字段：CHECK_DATE，需后续只读 SQL 补近30天活跃度,CHECK_DATE,?
DRUG_USER,MED_CODE_GENERATE_RULE,单号生成规则表,0,待人工确认,remain_manual,空表但有中文名或业务域，需人工确认是否历史保留,DATE_FORMAT,?
DRUG_USER,MED_CODE_MASTER,单号主表,0,待人工确认,remain_manual,规则未能确定,WORK_TIME,?
DRUG_USER,MED_DETAIL_STORAGE,药品结存记录,96569,待人工确认,promote_core,有中文名/业务备注且非备份临时，存在数据，按用户规则优先保留；存在候选时间字段：EXPIRE_DATE，需后续只读 SQL 补近30天活跃度,EXPIRE_DATE,?
DRUG_USER,MED_DICT_BASEINFO,药品目录表,6040,待人工确认,promote_core,有中文名/业务备注且非备份临时，存在数据，按用户规则优先保留；存在候选时间字段：CREATE_USER_ID，需后续只读 SQL 补近30天活跃度,CREATE_USER_ID,?
DRUG_USER,MED_DICT_BASEINFO_RECORD,药品修改记录表,1484,待人工确认,promote_core,有中文名/业务备注且非备份临时，存在数据，按用户规则优先保留；存在候选时间字段：DRUG_UPDATE_RECORD_ID，需后续只读 SQL 补近30天活跃度,DRUG_UPDATE_RECORD_ID,?
DRUG_USER,MED_DICT_DEPT,药房药库名称编码表,20,待人工确认,promote_core,有中文名/业务备注且非备份临时，存在数据，按用户规则优先保留；存在候选时间字段：CREATE_TIME，需后续只读 SQL 补近30天活跃度,CREATE_TIME,?
DRUG_USER,MED_DICT_FACTORY,药品字典厂商,1569,待人工确认,promote_core,有中文名/业务备注且非备份临时，存在数据，按用户规则优先保留；存在候选时间字段：CREATE_USER_ID，需后续只读 SQL 补近30天活跃度,CREATE_USER_ID,?
DRUG_USER,MED_DICT_INTYPE,药品字典入库类型,17,待人工确认,promote_core,有中文名/业务备注且非备份临时，存在数据，按用户规则优先保留；存在候选时间字段：CREATE_USER_ID，需后续只读 SQL 补近30天活跃度,CREATE_USER_ID,?
DRUG_USER,MED_DICT_LOC,药品字典库位编码,1500,待人工确认,promote_core,有中文名/业务备注且非备份临时，存在数据，按用户规则优先保留,,?
DRUG_USER,MED_DICT_LOCRULE,药品字典库位编码规则,20,待人工确认,promote_core,有中文名/业务备注且非备份临时，存在数据，按用户规则优先保留,,?
DRUG_USER,MED_DICT_OUTTYPE,药品字典出库类型,21,待人工确认,promote_core,有中文名/业务备注且非备份临时，存在数据，按用户规则优先保留；存在候选时间字段：CREATE_USER_ID，需后续只读 SQL 补近30天活跃度,CREATE_USER_ID,?
DRUG_USER,MED_DICT_PRICE,药品产地价格表,8488,待人工确认,promote_core,有中文名/业务备注且非备份临时，存在数据，按用户规则优先保留；存在候选时间字段：CREATE_USER_ID，需后续只读 SQL 补近30天活跃度,CREATE_USER_ID,?
DRUG_USER,MED_DICT_PRICE_20250822,药品产地价格表,7623,待人工确认,exclude,表名含备份/临时/测试/日志/日期快照特征，按用户规则排除,CREATE_USER_ID,?
DRUG_USER,MED_DICT_PRICE_20250826,药品产地价格表,7626,待人工确认,exclude,表名含备份/临时/测试/日志/日期快照特征，按用户规则排除,CREATE_USER_ID,?
DRUG_USER,MED_DICT_PRICE_20260616,药品产地价格表,8488,待人工确认,exclude,表名含备份/临时/测试/日志/日期快照特征，按用户规则排除,CREATE_USER_ID,?
DRUG_USER,MED_DICT_PRICE_RECORD,药品产地价格修改记录表,119,待人工确认,promote_core,有中文名/业务备注且非备份临时，存在数据，按用户规则优先保留；存在候选时间字段：UPDATE_PRICE_ID，需后续只读 SQL 补近30天活跃度,UPDATE_PRICE_ID,?
DRUG_USER,MED_DICT_SUPPLIER,药品字典供货商,70,待人工确认,promote_core,有中文名/业务备注且非备份临时，存在数据，按用户规则优先保留；存在候选时间字段：CREATE_USER_ID，需后续只读 SQL 补近30天活跃度,CREATE_USER_ID,?
DRUG_USER,MED_DRUG_LOC,药品库位对照表,8509,待人工确认,promote_core,有中文名/业务备注且非备份临时，存在数据，按用户规则优先保留,,?
DRUG_USER,MED_DRUG_LOC_2025-10-30,药品库位对照表,12364,待人工确认,exclude,表名含备份/临时/测试/日志/日期快照特征，按用户规则排除,,?
DRUG_USER,MED_FIN_DAYDETAIL,财务月结明细表,0,待人工确认,remain_manual,规则未能确定,SETTLE_DAY,?
DRUG_USER,MED_FIN_DAYSETTLE,财务月结主表,0,待人工确认,remain_manual,空表但有中文名或业务域，需人工确认是否历史保留,SETTLE_DAY,?
DRUG_USER,MED_FIN_MONTHDETAIL,财务月结明细表,890,待人工确认,promote_core,有中文名/业务备注且非备份临时，存在数据，按用户规则优先保留；存在候选时间字段：CREATE_USER_ID，需后续只读 SQL 补近30天活跃度,CREATE_USER_ID,?
DRUG_USER,MED_FIN_MONTHSETTLE,财务月结主表,2,待人工确认,promote_core,有中文名/业务备注且非备份临时，存在数据，按用户规则优先保留；存在候选时间字段：START_TIME，需后续只读 SQL 补近30天活跃度,START_TIME,?
DRUG_USER,MED_INIT_ACCOUNT,药库初始化建账表,1222,待人工确认,promote_core,有中文名/业务备注且非备份临时，存在数据，按用户规则优先保留；存在候选时间字段：PRODUCT_DATE，需后续只读 SQL 补近30天活跃度,PRODUCT_DATE,?
DRUG_USER,MED_IN_DETAIL,采购入库明细表,116288,待人工确认,promote_core,有中文名/业务备注且非备份临时，存在数据，按用户规则优先保留；存在候选时间字段：EXPIRE_DATE，需后续只读 SQL 补近30天活跃度,EXPIRE_DATE,?
DRUG_USER,MED_IN_DETAIL_2025-9-1,采购入库明细表,18717,待人工确认,exclude,表名含备份/临时/测试/日志/日期快照特征，按用户规则排除,EXPIRE_DATE,?
DRUG_USER,MED_IN_MASTER,采购入库主表,42788,待人工确认,promote_core,有中文名/业务备注且非备份临时，存在数据，按用户规则优先保留；存在候选时间字段：IN_DATE，需后续只读 SQL 补近30天活跃度,IN_DATE,?
DRUG_USER,MED_IN_PAY,财务验收付款主表,0,待人工确认,remain_manual,空表但有中文名或业务域，需人工确认是否历史保留,PAY_DATE,?
DRUG_USER,MED_IN_PAYDETAIL,财务验收付款明细表,0,待人工确认,remain_manual,规则未能确定,CREATE_USER_ID,?
DRUG_USER,MED_IN_PLAN,采购计划主表,40,待人工确认,promote_core,有中文名/业务备注且非备份临时，存在数据，按用户规则优先保留；存在候选时间字段：PLAN_DATE，需后续只读 SQL 补近30天活跃度,PLAN_DATE,?
DRUG_USER,MED_IN_PLAN_DETAIL,采购计划明细表,40031,待人工确认,promote_core,有中文名/业务备注且非备份临时，存在数据，按用户规则优先保留；存在候选时间字段：CHECK_QUANTITY，需后续只读 SQL 补近30天活跃度,CHECK_QUANTITY,?
DRUG_USER,MED_OUT_DETAIL,出库信息明细表,133386,待人工确认,promote_core,有中文名/业务备注且非备份临时，存在数据，按用户规则优先保留；存在候选时间字段：EXPIRE_DATE，需后续只读 SQL 补近30天活跃度,EXPIRE_DATE,?
DRUG_USER,MED_OUT_MASTER,出库信息主表,25856,待人工确认,promote_core,有中文名/业务备注且非备份临时，存在数据，按用户规则优先保留；存在候选时间字段：REQUEST_DATE，需后续只读 SQL 补近30天活跃度,REQUEST_DATE,?
DRUG_USER,MED_PHARMACY,,0,待人工确认,exclude,空表且无中文名/数据库备注/明确业务用途,,?
DRUG_USER,MED_STORAGE,药品库存信息,13904,待人工确认,promote_core,有中文名/业务备注且非备份临时，存在数据，按用户规则优先保留；存在候选时间字段：EXPIRE_DATE，需后续只读 SQL 补近30天活跃度,EXPIRE_DATE,?
DRUG_USER,MED_STORAGE_DAY,药库库存日结信息,2620393,待人工确认,promote_core,有中文名/业务备注且非备份临时，存在数据，按用户规则优先保留；存在候选时间字段：EXPIRE_DATE，需后续只读 SQL 补近30天活跃度,EXPIRE_DATE,?
DRUG_USER,MED_SUPPLIER_INFO,码上放心对应供应商信息表,0,待人工确认,remain_manual,空表但有中文名或业务域，需人工确认是否历史保留,AUDIT_STATUS,?
DRUG_USER,OPS_PRESC_DATA,,4569270,待人工确认,promote_core_activity_verified,有数据但缺中文名/备注/验证关系，需人工确认??? SQL ???30? 87288 ??????,PRESC_DATE,?
DRUG_USER,PHA_ALLOCAT_MASTER,药房调拨主表,10439,待人工确认,promote_core,有中文名/业务备注且非备份临时，存在数据，按用户规则优先保留；存在候选时间字段：REQUEST_NO，需后续只读 SQL 补近30天活跃度,REQUEST_NO,?
DRUG_USER,PHA_ALOOCAT_DETAIL,药房调拨明细表,13970,待人工确认,promote_core,有中文名/业务备注且非备份临时，存在数据，按用户规则优先保留；存在候选时间字段：REQUEST_NO，需后续只读 SQL 补近30天活跃度,REQUEST_NO,?
DRUG_USER,PHA_BALANCE,药房价格差额表（平账表）,652,待人工确认,promote_core,有中文名/业务备注且非备份临时，存在数据，按用户规则优先保留；存在候选时间字段：BALANCE_DATE，需后续只读 SQL 补近30天活跃度,BALANCE_DATE,?
DRUG_USER,PHA_CHECK_DETAIL,药房盘点明细表,154531,待人工确认,promote_core,有中文名/业务备注且非备份临时，存在数据，按用户规则优先保留；存在候选时间字段：PRODUCT_DATE，需后续只读 SQL 补近30天活跃度,PRODUCT_DATE,?
DRUG_USER,PHA_CHECK_MASTER,药房盘点主表,391,待人工确认,promote_core,有中文名/业务备注且非备份临时，存在数据，按用户规则优先保留；存在候选时间字段：CHECK_DATE，需后续只读 SQL 补近30天活跃度,CHECK_DATE,?
DRUG_USER,PHA_DETAIL_STORAGE,药房库存结存信息,6790589,待人工确认,promote_core,有中文名/业务备注且非备份临时，存在数据，按用户规则优先保留；存在候选时间字段：EXPIRE_DATE，需后续只读 SQL 补近30天活跃度,EXPIRE_DATE,?
DRUG_USER,PHA_DICT_MEDINFO,药品字典药房药品,165860,待人工确认,promote_core,有中文名/业务备注且非备份临时，存在数据，按用户规则优先保留；存在候选时间字段：CREATE_USER_ID，需后续只读 SQL 补近30天活跃度,CREATE_USER_ID,?
DRUG_USER,PHA_FALSE_STORAGE,药房库存信息,0,待人工确认,remain_manual,空表但有中文名或业务域，需人工确认是否历史保留,REQ_PRI,?
DRUG_USER,PHA_FIN_DAYDETAIL,财务月结明细表,0,待人工确认,remain_manual,规则未能确定,,?
DRUG_USER,PHA_FIN_DAYSETTLE,财务月结主表,0,待人工确认,remain_manual,空表但有中文名或业务域，需人工确认是否历史保留,SETTLE_DAY,?
DRUG_USER,PHA_FIN_MONTHDETAIL,财务月结明细表,4200,待人工确认,promote_core,有中文名/业务备注且非备份临时，存在数据，按用户规则优先保留；存在候选时间字段：CREATE_USER_ID，需后续只读 SQL 补近30天活跃度,CREATE_USER_ID,?
DRUG_USER,PHA_FIN_MONTHSETTLE,财务月结主表,10,待人工确认,promote_core,有中文名/业务备注且非备份临时，存在数据，按用户规则优先保留；存在候选时间字段：START_TIME，需后续只读 SQL 补近30天活跃度,START_TIME,?
DRUG_USER,PHA_INIT_ACCOUNT,药房初始化建账表,3880,待人工确认,promote_core,有中文名/业务备注且非备份临时，存在数据，按用户规则优先保留；存在候选时间字段：PRODUCT_DATE，需后续只读 SQL 补近30天活跃度,PRODUCT_DATE,?
DRUG_USER,PHA_INP_DISPMASTER,药房发药住院记录主表,336816,待人工确认,promote_core,有中文名/业务备注且非备份临时，存在数据，按用户规则优先保留；存在候选时间字段：DISP_DATE，需后续只读 SQL 补近30天活跃度,DISP_DATE,?
DRUG_USER,PHA_INP_REQUEST_DRUG_DISPDATE,,1587680,待人工确认,remain_manual,有数据但缺中文名/备注/验证关系，需人工确认,PREFORM_DATETIME_LIST,?
DRUG_USER,PHA_MEDICAL_ADVICE_REVIEW,,3564,待人工确认,promote_core_activity_verified,有数据但缺中文名/备注/验证关系，需人工确认??? SQL ???30? 87 ??????,EXEC_SQN,?
DRUG_USER,PHA_SPECIAL_DRUG_REVIEW,特殊药品审核记录表,44380,待人工确认,promote_core,有中文名/业务备注且非备份临时，存在数据，按用户规则优先保留；存在候选时间字段：CREATE_TIME，需后续只读 SQL 补近30天活跃度,CREATE_TIME,?
DRUG_USER,PHA_STORAGE,药房库存信息,35423,待人工确认,promote_core,有中文名/业务备注且非备份临时，存在数据，按用户规则优先保留；存在候选时间字段：EXPIRE_DATE，需后续只读 SQL 补近30天活跃度,EXPIRE_DATE,?
DRUG_USER,PHA_STORAGE_DAY,药房库存日结信息,7081114,待人工确认,promote_core,有中文名/业务备注且非备份临时，存在数据，按用户规则优先保留；存在候选时间字段：EXPIRE_DATE，需后续只读 SQL 补近30天活跃度,EXPIRE_DATE,?
DRUG_USER,PHA_VISIT_DISPDETAIL,门诊发药申请详情?,2095101,待人工确认,promote_core,有中文名/业务备注且非备份临时，存在数据，按用户规则优先保留；存在候选时间字段：PRODUCT_DATE，需后续只读 SQL 补近30天活跃度,PRODUCT_DATE,?
DRUG_USER,PHA_VISIT_DISPMASTER,,0,待人工确认,exclude,空表且无中文名/数据库备注/明确业务用途,CHECK_DATE,?
DRUG_USER,PUB_CONFIG,系统配置表,15,待人工确认,force_keep_by_user,有中文名/备注且有数据，但业务域/表类型仍不够明确??????用户指定保留：系统配置表,CREATE_TIME,?
DRUG_USER,PUB_CONFIG_SET,系统配置选项设置表,0,待人工确认,exclude,技术配置/工具表且为空，不进入治理资产,CREATE_TIME,?
DRUG_USER,SUPPLIER_IN_DETAIL,采购入库明细,0,待人工确认,remain_manual,规则未能确定,EXPIRE_DATE,?
DRUG_USER,SUPPLIER_IN_MASTER,采购入库主表对象,0,待人工确认,remain_manual,规则未能确定,IN_DATE,?
DRUG_USER,SYSTEM_CONFIG,系统配置项,3,待人工确认,remain_manual,有中文名/备注且有数据，但业务域/表类型仍不够明确,CREATE_TIME,?
DRUG_USER,SYSTEM_ORDER_GENER,,52881,待人工确认,promote_core_activity_verified,有数据但缺中文名/备注/验证关系，需人工确认??? SQL ???30? 4718 ??????,DATE_CODE,?
DRUG_USER,Sheet1,,1994,待人工确认,remain_manual,有数据但缺中文名/备注/验证关系，需人工确认,,?
DRUG_USER,TEMP_DRUG_INFO,,,待人工确认,exclude,表名含备份/临时/测试/日志/日期快照特征，按用户规则排除,,?
DRUG_USER,TMP_PREV_YEAR_STAT,,,待人工确认,exclude,表名含备份/临时/测试/日志/日期快照特征，按用户规则排除,,?
DRUG_USER,VIEW_SHOWDATA,预览报表数据,473258,待人工确认,force_keep_by_user,有中文名/备注且有数据，但业务域/表类型仍不够明确??????用户指定保留：预览/报表数据仍需作为资产线索,CREATE_TIME,?
DRUG_USER,sheet_drug,,3478,待人工确认,remain_manual,有数据但缺中文名/备注/验证关系，需人工确认,,?
DRUG_USER,zsm,,1200,待人工确认,remain_manual,有数据但缺中文名/备注/验证关系，需人工确认,,?
DRUG_USER,更改厂家,,347,待人工确认,exclude,表名含中文临时/手工结果语义，按用户规则排除,,?
EXAM,EXAM_APPOINTS,检查预约记录,1559327,待人工确认,promote_core,有中文名/业务备注且非备份临时，存在数据，按用户规则优先保留；存在候选时间字段：EXAM_NO，需后续只读 SQL 补近30天活跃度,EXAM_NO,?
EXAM,EXAM_EXP_LIST,科室耗材使用分类记录,455,待人工确认,promote_core,有中文名/业务备注且非备份临时，存在数据，按用户规则优先保留,,?
EXAM,EXAM_EXP_LIST_CLASS_NO,科室耗材使用分类字典,18,待人工确认,promote_core,有中文名/业务备注且非备份临时，存在数据，按用户规则优先保留,,?
EXAM,EXAM_IMAGE_INDEX,检查图象索引,0,待人工确认,remain_manual,空表但有中文名或业务域，需人工确认是否历史保留,EXAM_NO,?
EXAM,EXAM_INQUIRY,检查随访记录,0,待人工确认,remain_manual,空表但有中文名或业务域，需人工确认是否历史保留,EXAM_NO,?
EXAM,EXAM_INTERVAL,检查时间间隔,0,待人工确认,remain_manual,空表但有中文名或业务域，需人工确认是否历史保留,,?
EXAM,EXAM_MASTER_NEWPACS,新PACS接口记录,0,待人工确认,remain_manual,规则未能确定,EXAM_DATE_TIME,?
EXAM,EXAM_PAT_MI,检查病人主索引,1060526,待人工确认,promote_core,有中文名/业务备注且非备份临时，存在数据，按用户规则优先保留；存在候选时间字段：DATE_OF_BIRTH，需后续只读 SQL 补近30天活跃度,DATE_OF_BIRTH,?
EXAM,EXAM_SCHEDULE,检查病人时间安排,0,待人工确认,remain_manual,空表但有中文名或业务域，需人工确认是否历史保留,SCHEDULED_DATE_TIME,?
EXAM,EXAM_SHARINGCENTER_DETAIL,,8842,待人工确认,promote_core_activity_verified,有数据但缺中文名/备注/验证关系，需人工确认??? SQL ???30? 254 ??????,AUDITOR,?
EXAM,EXAM_SHARINGCENTER_MASTER,检查互认数据,8894,待人工确认,promote_core,有中文名/业务备注且非备份临时，存在数据，按用户规则优先保留；存在候选时间字段：OPER_TIME，需后续只读 SQL 补近30天活跃度,OPER_TIME,?
EXAM,EXAM_USER,,0,待人工确认,exclude,空表且无中文名/数据库备注/明确业务用途,,?
EXAM,EXAM_WORKING_PLAN,检查工作时间安排,0,待人工确认,remain_manual,空表但有中文名或业务域，需人工确认是否历史保留,MORN_BEGIN,?
EXAM,GAOXIANG,,0,待人工确认,exclude,空表且无中文名/数据库备注/明确业务用途,,?
EXAM,MODALITY_VS_LOCAL_ID_CLASS,,0,待人工确认,exclude,空表且无中文名/数据库备注/明确业务用途,,?
EXAM,PACSPATIENT,,0,待人工确认,exclude,空表且无中文名/数据库备注/明确业务用途,,?
EXAM,PACSSTUDY,,0,待人工确认,exclude,空表且无中文名/数据库备注/明确业务用途,SDATE,?
EXAM,PACSUPDATE,,0,待人工确认,exclude,空表且无中文名/数据库备注/明确业务用途,,?
EXAM,PBCATCOL,,0,待人工确认,exclude,PBCAT 类 PowerBuilder 元数据表且当前为空，按用户规则直接排除,,?
EXAM,PBCATEDT,,0,待人工确认,exclude,PBCAT 类 PowerBuilder 元数据表且当前为空，按用户规则直接排除,,?
EXAM,PBCATFMT,,0,待人工确认,exclude,PBCAT 类 PowerBuilder 元数据表且当前为空，按用户规则直接排除,,?
EXAM,PBCATTBL,,0,待人工确认,exclude,PBCAT 类 PowerBuilder 元数据表且当前为空，按用户规则直接排除,,?
EXAM,PBCATVLD,,0,待人工确认,exclude,PBCAT 类 PowerBuilder 元数据表且当前为空，按用户规则直接排除,,?
EXAM,SQLEXPERT_PLAN1,,0,待人工确认,exclude,技术配置/工具表且为空，不进入治理资产,TIMESTAMP,?
EXAM,STOREUID,,0,待人工确认,exclude,空表且无中文名/数据库备注/明确业务用途,STUDYDATE,?
EXAM,SUBSERVER_VS_DEPT,,0,待人工确认,exclude,空表且无中文名/数据库备注/明确业务用途,,?
EXAM,TREAT_APPOINT,治疗预约记录,0,待人工确认,remain_manual,空表但有中文名或业务域，需人工确认是否历史保留,TREAT_NO,?
EXAM,TREAT_ITEMS,检查项目记录,0,待人工确认,remain_manual,规则未能确定,EXAM_NO,?
EXAM,TSMARCHIVE,,0,待人工确认,exclude,空表且无中文名/数据库备注/明确业务用途,ARCHIVE_DATE,?
INPADM,CEQ$PATS_IN_HOSPITAL,,0,待人工确认,exclude,技术配置/工具表且为空，不进入治理资产,ADMISSION_DATE_TIME,?
INPADM,CLG$PATS_IN_HOSPITAL,,0,待人工确认,exclude,空表且无中文名/数据库备注/明确业务用途,,?
INPADM,CVR$PATS_IN_HOSPITAL,,0,待人工确认,exclude,空表且无中文名/数据库备注/明确业务用途,,?
INPADM,MEDICAL_QC_MSG,质控信息病人信息表,430946,待人工确认,promote_core,有中文名/业务备注且非备份临时，存在数据，按用户规则优先保留；存在候选时间字段：ISSUED_DATE_TIME，需后续只读 SQL 补近30天活跃度,ISSUED_DATE_TIME,?
INPADM,ORDERS_GROUP_REC,12.8 经管医生记录,1103,待人工确认,promote_core,有中文名/业务备注且非备份临时，存在数据，按用户规则优先保留,,?
INPADM,PATS_IN_HOSPITAL_C0525325,,1,待人工确认,exclude_activity_or_backup_corrected,有数据但缺中文名/备注/验证关系，需人工确认????? BACKUP/DEL/C0525325/??????,ADMISSION_DATE_TIME,?
INPADM,PATS_IN_HOSPITAL_TEST,在院病人记录,0,待人工确认,exclude,表名含备份/临时/测试/日志/日期快照特征，按用户规则排除,ADMISSION_DATE_TIME,?
INPADM,PATS_IN_TRANSFERRING,转科病人记录,51,待人工确认,promote_core,有中文名/业务备注且非备份临时，存在数据，按用户规则优先保留；存在候选时间字段：TRANSFER_DATE_TIME，需后续只读 SQL 补近30天活跃度,TRANSFER_DATE_TIME,?
